"","Var1","Freq"
"629","barbaric",1
"630","barber",1
"631","bare",4
"632","bargain",1
"633","bark",2
"634","barmaid",3
"635","barometric",1
"636","barque",3
"637","barred",7
"638","barrel",1
"639","barricade",1
"640","barricaded",1
"641","barrow",1
"642","bars",4
"643","barton",1
"644","baryta",1
"645","base",1
"646","bashful",1
"647","basin",2
"648","basis",1
"649","basket",3
"650","basketful",1
"651","bath",2
"652","bathroom",1
"653","battered",3
"654","battle",1
"655","baxter's",1
"656","baying",1
"657","be",627
"658","beads",1
"659","beam",1
"660","beamed",1
"661","bean",1
"662","bear",7
"663","beard",3
"664","bearded",1
"665","bearing",8
"666","bearings",1
"667","bears",4
"668","beast",1
"669","beasts",1
"670","beat",5
"671","beaten",6
"672","beating",3
"673","beauties",1
"674","beautiful",11
"675","beautifully",4
"676","beauty",8
"677","became",31
"678","because",23
"679","becher",2
"680","becher's",1
"681","beckoned",1
"682","beckoning",2
"683","become",10
"684","becomes",7
"685","becoming",1
"686","bed",39
"687","bedded",2
"688","bedroom",18
"689","bedrooms",3
"690","beds",2
"691","bedside",1
"692","bedtime",1
"693","bee",1
"694","beech",1
"695","beeches",12
"696","beef",3
"697","been",393
"698","beer",3
"699","befall",2
"700","befallen",1
"701","before",164
"702","beforehand",1
"703","beg",12
"704","began",25
"705","beget",1
"706","beggar",6
"707","beggarman",1
"708","beggary",1
"709","begged",3
"710","begging",4
"711","begin",6
"712","beginning",6
"713","beginnings",1
"714","begins",1
"715","begun",4
"716","behind",50
"717","beige",1
"718","being",45
"719","beings",1
"720","belated",1
"721","belief",6
"722","believe",35
"723","believed",3
"724","believing",1
"725","bell",25
"726","belonged",2
"727","belonging",2
"728","belongs",3
"729","beloved",1
"730","below",5
"731","belt",2
"732","bend",1
"733","bending",3
"734","beneath",10
"735","benefactor",3
"736","benevolent",1
"737","bengal",1
"738","bent",14
"739","bequeathed",1
"740","bequest",1
"741","berkshire",4
"742","bermuda",1
"743","berth",1
"744","berths",2
"745","beryl",4
"746","beryls",4
"747","beside",25
"748","besides",13
"749","best",31
"750","bet",3
"751","betray",1
"752","betrayed",1
"753","betraying",1
"754","betrothal",1
"755","better",51
"756","between",60
"757","bewilderment",2
"758","beyond",11
"759","biassed",1
"760","bible",1
"761","bicycling",1
"762","big",5
"763","bigger",1
"764","bijou",1
"765","bile",1
"766","bill",8
"767","billet",2
"768","bills",2
"769","billycock",1
"770","bind",1
"771","binding",1
"772","biographies",1
"773","biography",1
"774","birchmoor",1
"775","bird",22
"776","bird's",2
"777","birds",5
"778","bisulphate",1
"779","bit",6
"780","bite",2
"781","bitten",2
"782","bitter",4
"783","bitterly",2
"784","bitterness",1
"785","bizarre",4
"786","black",51
"787","blackest",1
"788","blackguard",1
"789","blackmailing",1
"790","blacksmith",1
"791","blame",3
"792","blanche",2
"793","blanched",1
"794","bland",1
"795","blandly",3
"796","blasted",1
"797","blaze",2
"798","blazing",2
"799","bleak",1
"800","bled",1
"801","bleeding",2
"802","blend",1
"803","bless",4
"804","blew",2
"805","blind",4
"806","blinds",5
"807","blinked",1
"808","bloc",1
"809","block",4
"810","blockaded",1
"811","blocked",3
"812","blonde",1
"813","blood",15
"814","blooded",2
"815","bloodless",2
"816","bloodstains",2
"817","bloody",1
"818","bloomsbury",1
"819","blot",1
"820","blotched",1
"821","blotches",2
"822","blotted",1
"823","blotting",2
"824","blow",12
"825","blowing",3
"826","blown",1
"827","blows",3
"828","blue",26
"829","bluff",1
"830","blundering",1
"831","blunders",1
"832","blunt",4
"833","blur",1
"834","blurs",1
"835","blush",1
"836","bluster",1
"837","boa",1
"838","board",3
"839","boarding",2
"840","boards",4
"841","boasting",1
"842","boat",4
"843","bob",1
"844","bodes",1
"845","bodies",3
"846","body",21
"847","bohemia",12
"848","bohemian",4
"849","boiling",1
"850","boisterous",1
"851","bold",1
"852","bolted",1
"853","bond",1
"854","bone",3
"855","bones",2
"856","bonnet",5
"857","bonniest",1
"858","bonny",1
"859","book",10
"860","books",10
"861","boomed",1
"862","boone",8
"863","boot",5
"864","booted",1
"865","boots",17
"866","bordeaux",1
"867","border",3
"868","bordered",2
"869","borders",2
"870","bore",5
"871","bored",2
"872","born",3
"873","borne",4
"874","borrow",1
"875","borrowed",2
"876","boscombe",16
"877","bosom",2
"878","boswell",1
"879","botany",1
"880","both",47
"881","bottle",1
"882","bottles",2
"883","bottom",8
"884","bought",6
"885","bound",7
"886","boundary",1
"887","bounded",1
"888","bounds",1
"889","bouquet",3
"890","bow",6
"891","bowed",9
"892","bowing",2
"893","bowls",1
"894","box",19
"895","boxed",1
"896","boxer",1
"897","boxes",4
"898","boy",20
"899","boy's",1
"900","boyish",1
"901","boys",1
"902","brace",1
"903","braced",2
"904","bracelets",1
"905","bradshaw",2
"906","bradstreet",12
"907","brain",4
"908","brains",3
"909","bramble",1
"910","branch",3
"911","branches",3
"912","branded",1
"913","brandy",7
"914","brass",4
"915","brassy",1
"916","brave",5
"917","braved",2
"918","braving",1
"919","brawls",1
"920","brazen",1
"921","brazier",2
"922","breach",1
"923","breaches",1
"924","bread",1
"925","breadth",1
"926","break",13
"927","breakfast",23
"928","breakfasts",1
"929","breaking",8
"930","breaks",1
"931","breast",5
"932","breasted",1
"933","breastpin",1
"934","breath",7
"935","breathe",1
"936","breathed",1
"937","breathing",6
"938","breathlessly",1
"939","breckinridge",7
"940","bred",3
"941","brewer",1
"942","briar",1
"943","brick",2
"944","brickish",1
"945","bricks",5
"946","bridal",1
"947","bride",6
"948","bride's",3
"949","bridegroom",7
"950","bridge",8
"951","brief",1
"952","briefly",2
"953","bright",18
"954","brighter",1
"955","brightest",2
"956","brightly",5
"957","brightness",1
"958","brilliant",6
"959","brilliantly",2
"960","brim",1
"961","brimmed",4
"962","brims",1
"963","bring",23
"964","bringing",6
"965","brings",2
"966","briony",11
"967","brisk",4
"968","briskly",2
"969","bristol",6
"970","britain",1
"971","britannica",2
"972","british",4
"973","brixton",6
"974","broad",16
"975","broadened",3
"976","broader",1
"977","broadest",1
"978","broke",14
"979","broken",12
"980","brooch",1
"981","brother",7
"982","brothers",1
"983","brougham",4
"984","brought",50
"985","brow",6
"986","brown",16
"987","brownish",1
"988","brows",3
"989","bruise",1
"990","brush",1
"991","brushed",3
"992","brute",3
"993","buckles",1
"994","budge",1
"995","buffalo",1
"996","build",1
"997","builder",1
"998","building",13
"999","buildings",1
"1000","built",4
"1001","bulge",1
"1002","bulky",4
"1003","bull",1
"1004","bulldog",2
"1005","bullet",1
"1006","bullion",2
"1007","bumping",1
"1008","bunch",1
"1009","bundle",5
"1010","bundles",1
"1011","burden",1
"1012","bureau",9
"1013","burglar",1
"1014","burglars",1
"1015","burgled",2
"1016","buried",6
"1017","burly",1
"1018","burned",5
"1019","burning",5
"1020","burnished",1
"1021","burnwell",7
"1022","burrowing",2
"1023","burst",7
"1024","bush",1
"1025","bushes",5
"1026","bushy",3
"1027","busier",1
"1028","business",73
"1029","businesslike",1
"1030","bustled",1
"1031","bustling",1
"1032","busy",7
"1033","busybody",1
"1034","but",651
"1035","butcher's",1
"1036","butler",2
"1037","butt",2
"1038","butted",1
"1039","buttoned",5
"1040","buttoning",2
"1041","buttons",3
"1042","buy",7
"1043","buying",1
"1044","buzz",1
"1045","buzzing",1
"1046","by",349
"1047","bye",6
"1048","c",3
"1049","c'est",2
"1050","cab",26
"1051","cabby",1
"1052","cabinet",2
"1053","cable",1
"1054","cabman",5
"1055","cabs",2
"1056","cadaverous",1
"1057","cage",1
"1058","caged",1
"1059","cake",1
"1060","cal",1
"1061","calamity",1
"1062","calcutta",1
"1063","calf",1
"1064","calhoun",2
"1065","california",3
"1066","californian",1
"1067","call",43
"1068","called",26
"1069","calling",6
"1070","calls",2
"1071","calmly",3
"1072","caltrops",1
"1073","calves",1
"1074","camberwell",2
"1075","came",146
"1076","camera",1
"1077","camp",5
"1078","campaign",2
"1079","campaigner",1
"1080","can",168
"1081","can't",12
"1082","candid",1
"1083","candidate",1
"1084","candle",3
"1085","cane",3
"1086","cannon",1
"1087","cannot",51
"1088","canvas",1
"1089","cap",7
"1090","capable",5
"1091","capacity",2
"1092","capital",8
"1093","caps",2
"1094","captain",2
"1095","capture",1
"1096","captured",1
"1097","caraffe",1
"1098","carbolised",1
"1099","carbuncle",7
"1100","card",8
"1101","cardboard",2
"1102","cards",3
"1103","care",15
"1104","cared",3
"1105","career",1
"1106","careful",8
"1107","carefully",10
"1108","careless",1
"1109","carelessly",3
"1110","cares",1
"1111","caress",1
"1112","caressing",1
"1113","cargo",1
"1114","carlo",1
"1115","carlsbad",1
"1116","carolinas",1
"1117","carpenter",1
"1118","carpet",3
"1119","carpets",1
"1120","carree",1
"1121","carriage",22
"1122","carried",22
"1123","carries",3
"1124","carry",12
"1125","carrying",8
"1126","cart",7
"1127","carte",2
"1128","carts",1
"1129","carved",1
"1130","cascade",1
"1131","case",117
"1132","caseful",1
"1133","cases",24
"1134","cashbox",1
"1135","cashier",2
"1136","casket",1
"1137","cassel",1
"1138","cast",5
"1139","casting",1
"1140","castle",1
"1141","cat",3
"1142","catastrophe",2
"1143","catch",8
"1144","catching",1
"1145","category",1
"1146","cathedral",1
"1147","catherine",2
"1148","catlike",1
"1149","caught",20
"1150","cause",20
"1151","caused",15
"1152","causes",2
"1153","causing",3
"1154","caution",1
"1155","cave",1
"1156","caved",1
"1157","cease",2
"1158","ceased",8
"1159","ceaseless",1
"1160","ceases",1
"1161","cedars",3
"1162","ceiling",10
"1163","celebrated",2
"1164","celebres",1
"1165","cell",2
"1166","cellar",15
"1167","cells",2
"1168","cent",1
"1169","central",4
"1170","centre",16
"1171","centred",1
"1172","centuries",1
"1173","century",1
"1174","ceremony",5
"1175","certain",15
"1176","certainly",45
"1177","certainty",6
"1178","certificates",1
"1179","chaff",1
"1180","chaffed",1
"1181","chaffering",1
"1182","chagrin",2
"1183","chagrined",1
"1184","chain",10
"1185","chains",1
"1186","chair",62
"1187","chairman",2
"1188","chairs",3
"1189","chalk",3
"1190","chamber",16
"1191","chambers",3
"1192","chamois",1
"1193","chance",25
"1194","chanced",1
"1195","chances",2
"1196","change",16
"1197","changed",5
"1198","changes",1
"1199","changing",1
"1200","chap",2
"1201","chapter",1
"1202","character",20
"1203","characterises",1
"1204","characteristic",3
"1205","characteristics",3
"1206","characters",1
"1207","charcoal",2
"1208","charge",13
"1209","charged",3
"1210","charing",2
"1211","charity",1
"1212","charles",1
"1213","charm",2
"1214","charming",5
"1215","charred",1
"1216","chase",5
"1217","chased",1
"1218","chasing",1
"1219","chat",2
"1220","chatted",1
"1221","chatting",1
"1222","cheap",1
"1223","cheating",1
"1224","check",4
"1225","checkmate",1
"1226","cheekbones",1
"1227","cheeks",10
"1228","cheer",1
"1229","cheerful",2
"1230","cheerily",2
"1231","cheerless",1
"1232","cheery",2
"1233","cheetah",6
"1234","chemical",4
"1235","chemistry",1
"1236","cherry",1
"1237","chest",6
"1238","chesterfield",1
"1239","chestnut",2
"1240","chewing",1
"1241","chief",2
"1242","chiffon",1
"1243","child",19
"1244","child's",2
"1245","childish",1
"1246","children",7
"1247","children's",1
"1248","chill",4
"1249","chimney",3
"1250","chimneys",2
"1251","chin",12
"1252","china",6
"1253","chinchilla",1
"1254","chinese",1
"1255","chink",2
"1256","chins",1
"1257","chisel",1
"1258","chivalrous",1
"1259","choked",4
"1260","choose",3
"1261","choosing",1
"1262","chose",1
"1263","chosen",3
"1264","christ's",1
"1265","christmas",10
"1266","chronic",1
"1267","chronicle",5
"1268","chronicler",1
"1269","chubb",1
"1270","chucked",1
"1271","chuckled",7
"1272","chuckling",1
"1273","church",14
"1274","cigar",12
"1275","cigarette",4
"1276","cigarettes",1
"1277","cigars",5
"1278","cinder",1
"1279","circle",9
"1280","circles",2
"1281","circulation",1
"1282","circumspect",1
"1283","circumstances",9
"1284","circumstantial",3
"1285","citizens",2
"1286","city",21
"1287","civil",3
"1288","civilisation",1
"1289","civilised",1
"1290","clad",7
"1291","claim",15
"1292","clair",23
"1293","clair's",4
"1294","clambered",1
"1295","clamped",2
"1296","clang",4
"1297","clanging",2
"1298","clank",1
"1299","clanking",1
"1300","clapped",4
"1301","clara",1
"1302","claret",1
"1303","clark",1
"1304","clasped",1
"1305","clasping",1
"1306","claspings",1
"1307","class",2
"1308","classes",1
"1309","clatter",2
"1310","clattered",2
"1311","claws",2
"1312","clay",14
"1313","clay's",1
"1314","clean",8
"1315","cleaned",2
"1316","cleanly",1
"1317","clear",44
"1318","cleared",16
"1319","clearer",3
"1320","clearing",8
"1321","clearly",14
"1322","clears",1
"1323","cleaver",2
"1324","clenched",1
"1325","clergyman",7
"1326","clerk",1
"1327","clerks",3
"1328","clever",7
"1329","cleverness",1
"1330","client",31
"1331","clients",3
"1332","climate",1
"1333","climbed",1
"1334","climbing",1
"1335","clinched",1
"1336","clink",2
"1337","clinked",1
"1338","cloak",8
"1339","clock",5
"1340","close",20
"1341","closed",22
"1342","closely",6
"1343","closing",6
"1344","cloth",7
"1345","clothes",22
"1346","clotilde",1
"1347","cloud",5
"1348","clouded",1
"1349","cloudless",2
"1350","clouds",6
"1351","club",8
"1352","clue",13
"1353","clues",3
"1354","clump",3
"1355","clumps",1
"1356","clumsy",1
"1357","cluster",1
"1358","clutched",4
"1359","clutches",2
"1360","clutching",1
"1361","co",4
"1362","coach",1
"1363","coachman",3
"1364","coarse",3
"1365","coarsely",1
"1366","coat",28
"1367","coat's",1
"1368","coaxing",1
"1369","cobb",1
"1370","cobbler's",1
"1371","coburg",9
"1372","cobwebby",1
"1373","cocaine",3
"1374","cock",1
"1375","cocked",5
"1376","cocking",1
"1377","cockroaches",1
"1378","cocksure",2
"1379","cocktail",1
"1380","coeur",1
"1381","coffee",8
"1382","coil",2
"1383","coin",1
"1384","coincidence",1
"1385","coincidences",1
"1386","coincident",1
"1387","coiners",1
"1388","coins",2
"1389","cold",22
"1390","coldly",3
"1391","coldness",1
"1392","collapse",1
"1393","collapsed",2
"1394","collar",7
"1395","colleague",4
"1396","collected",1
"1397","collecting",1
"1398","collection",1
"1399","college",2
"1400","colonel",28
"1401","colonel's",1
"1402","colonies",2
"1403","colony",2
"1404","colour",19
"1405","coloured",10
"1406","colourless",1
"1407","column",9
"1408","columns",2
"1409","combination",1
"1410","combinations",1
"1411","combine",1
"1412","combined",1
"1413","come",161
"1414","comely",1
"1415","comes",15
"1416","comfort",1
"1417","comfortable",5
"1418","comfortably",1
"1419","comforted",1
"1420","comic",1
"1421","comical",3
"1422","coming",28
"1423","command",4
"1424","commander",1
"1425","commanding",1
"1426","commands",2
"1427","commence",4
"1428","commencement",2
"1429","comment",1
"1430","commenting",1
"1431","commerce",1
"1432","commission",6
"1433","commissionaire",4
"1434","commissions",1
"1435","commit",1
"1436","committed",7
"1437","common",14
"1438","commonly",1
"1439","commonplace",8
"1440","commonplaces",2
"1441","commons",1
"1442","communicate",5
"1443","communicated",2
"1444","communication",4
"1445","communicative",1
"1446","community",1
"1447","commuting",1
"1448","companies",1
"1449","companion",30
"1450","companion's",4
"1451","companions",4
"1452","company",17
"1453","company's",1
"1454","comparatively",2
"1455","compared",2
"1456","comparing",1
"1457","compass",2
"1458","compasses",1
"1459","compelled",6
"1460","compensated",1
"1461","competence",1
"1462","competition",1
"1463","complain",2
"1464","complained",2
"1465","complaint",2
"1466","complete",12
"1467","completed",4
"1468","completely",5
"1469","complex",2
"1470","complexion",1
"1471","compliance",1
"1472","complicates",1
"1473","compliment",2
"1474","complimentary",1
"1475","complimented",1
"1476","compliments",1
"1477","comply",1
"1478","compose",1
"1479","composed",3
"1480","composer",1
"1481","compositor",1
"1482","comprehensive",1
"1483","compress",2
"1484","compressed",2
"1485","compromise",1
"1486","compromised",1
"1487","compromising",2
"1488","compunction",3
"1489","comrade",1
"1490","conan",1
"1491","conceal",5
"1492","concealed",3
"1493","concealment",1
"1494","conceit",1
"1495","conceivable",1
"1496","conceive",2
"1497","conceives",1
"1498","concentrate",1
"1499","concentrated",1
"1500","concentration",1
"1501","conception",2
"1502","concern",2
"1503","concerned",9
"1504","concerning",1
"1505","concert",1
"1506","concerts",1
"1507","concise",1
"1508","concisely",1
"1509","concluded",2
"1510","concluding",1
"1511","conclusion",8
"1512","conclusions",8
"1513","conclusive",2
"1514","condemned",1
"1515","condescend",2
"1516","condition",2
"1517","conditions",4
"1518","conduct",9
"1519","conducted",1
"1520","conducting",1
"1521","confectioner's",1
"1522","confederate",4
"1523","confederates",1
"1524","confess",16
"1525","confessed",4
"1526","confession",4
"1527","confidant",2
"1528","confide",2
"1529","confided",2
"1530","confidence",5
"1531","confidential",2
"1532","confine",2
"1533","confined",4
"1534","confining",1
"1535","confirm",3
"1536","confirmed",1
"1537","confound",1
"1538","confronted",1
"1539","confused",2
"1540","confusion",2
"1541","congenial",1
"1542","congratulate",4
"1543","congratulated",1
"1544","conjecture",5
"1545","conjectured",3
"1546","conjunction",1
"1547","connected",7
"1548","connection",11
"1549","connivance",1
"1550","conscience",2
"1551","conscious",2
"1552","consciousness",4
"1553","consented",1
"1554","consequence",1
