"","gutenberg_id","oraciones"
"53",1661,"""i see it, i deduce it."
"54",1661,"how do i know that you have been getting yourself very wet lately, and that you have a most clumsy and careless servant girl?"""
"55",1661,"""my dear holmes,"" said i, ""this is too much."
"56",1661,"you would certainly have been burned, had you lived a few centuries ago."
"57",1661,"it is true that i had a country walk on thursday and came home in a dreadful mess, but as i have changed my clothes i can't imagine how you deduce it."
"58",1661,"as to mary jane, she is incorrigible, and my wife has given her notice, but there, again, i fail to see how you work it out."""
"59",1661,"he chuckled to himself and rubbed his long, nervous hands together."
"60",1661,"""it is simplicity itself,"" said he; ""my eyes tell me that on the inside of your left shoe, just where the firelight strikes it, the leather is scored by six almost parallel cuts."
"61",1661,"obviously they have been caused by someone who has very carelessly scraped round the edges of the sole in order to remove crusted mud from it."
"62",1661,"hence, you see, my double deduction that you had been out in vile weather, and that you had a particularly malignant boot-slitting specimen of the london slavey."
"63",1661,"as to your practice, if a gentleman walks into my rooms smelling of iodoform, with a black mark of nitrate of silver upon his right forefinger, and a bulge on the right side of his top-hat to show where he has secreted his stethoscope, i must be dull, indeed, if i do not pronounce him to be an active member of the medical profession."""
"64",1661,"i could not help laughing at the ease with which he explained his process of deduction."
"65",1661,"""when i hear you give your reasons,"" i remarked, ""the thing always appears to me to be so ridiculously simple that i could easily do it myself, though at each successive instance of your reasoning i am baffled until you explain your process."
"66",1661,"and yet i believe that my eyes are as good as yours."""
"67",1661,"""quite so,"" he answered, lighting a cigarette, and throwing himself down into an armchair."
"68",1661,"""you see, but you do not observe."
"69",1661,"the distinction is clear."
"70",1661,"for example, you have frequently seen the steps which lead up from the hall to this room."""
"71",1661,"""frequently."""
"72",1661,"""how often?"""
"73",1661,"""well, some hundreds of times."""
"74",1661,"""then how many are there?"""
"75",1661,"""how many?"
"76",1661,"i don't know."""
"77",1661,"""quite so!"
"78",1661,"you have not observed."
"79",1661,"and yet you have seen."
"80",1661,"that is just my point."
"81",1661,"now, i know that there are seventeen steps, because i have both seen and observed."
"82",1661,"by-the-way, since you are interested in these little problems, and since you are good enough to chronicle one or two of my trifling experiences, you may be interested in this."""
"83",1661,"he threw over a sheet of thick, pink-tinted note-paper which had been lying open upon the table."
"84",1661,"""it came by the last post,"" said he."
"85",1661,"""read it aloud."""
"86",1661,"the note was undated, and without either signature or address."
"87",1661,"""there will call upon you to-night, at a quarter to eight o'clock,"" it said, ""a gentleman who desires to consult you upon a matter of the very deepest moment."
"88",1661,"your recent services to one of the royal houses of europe have shown that you are one who may safely be trusted with matters which are of an importance which can hardly be exaggerated."
"89",1661,"this account of you we have from all quarters received."
"90",1661,"be in your chamber then at that hour, and do not take it amiss if your visitor wear a mask."""
"91",1661,"""this is indeed a mystery,"" i remarked."
"92",1661,"""what do you imagine that it means?"""
"93",1661,"""i have no data yet."
"94",1661,"it is a capital mistake to theorize before one has data."
"95",1661,"insensibly one begins to twist facts to suit theories, instead of theories to suit facts."
"96",1661,"but the note itself."
"97",1661,"what do you deduce from it?"""
"98",1661,"i carefully examined the writing, and the paper upon which it was written."
"99",1661,"""the man who wrote it was presumably well to do,"" i remarked, endeavouring to imitate my companion's processes."
"100",1661,"""such paper could not be bought under half a crown a packet."
"101",1661,"it is peculiarly strong and stiff."""
"102",1661,"""peculiar--that is the very word,"" said holmes."
"103",1661,"""it is not an english paper at all."
"104",1661,"hold it up to the light."""
"105",1661,"i did so, and saw a large ""e"" with a small ""g,"" a ""p,"" and a large ""g"" with a small ""t"" woven into the texture of the paper."
"106",1661,"""what do you make of that?"""
"107",1661,"asked holmes."
"108",1661,"""the name of the maker, no doubt; or his monogram, rather."""
"109",1661,"""not at all."
"110",1661,"the 'g' with the small 't' stands for 'gesellschaft,' which is the german for 'company.'"
"111",1661,"it is a customary contraction like our 'co.'"
"112",1661,"'p,' of course, stands for 'papier.'"
"113",1661,"now for the 'eg.'"
"114",1661,"let us glance at our continental gazetteer."""
"115",1661,"he took down a heavy brown volume from his shelves."
"116",1661,"""eglow, eglonitz--here we are, egria."
"117",1661,"it is in a german-speaking country--in bohemia, not far from carlsbad."
"118",1661,"'remarkable as being the scene of the death of wallenstein, and for its numerous glass-factories and paper-mills.'"
"119",1661,"ha, ha, my boy, what do you make of that?"""
"120",1661,"his eyes sparkled, and he sent up a great blue triumphant cloud from his cigarette."
"121",1661,"""the paper was made in bohemia,"" i said."
"122",1661,"""precisely."
"123",1661,"and the man who wrote the note is a german."
"124",1661,"do you note the peculiar construction of the sentence--'this account of you we have from all quarters received.'"
"125",1661,"a frenchman or russian could not have written that."
"126",1661,"it is the german who is so uncourteous to his verbs."
"127",1661,"it only remains, therefore, to discover what is wanted by this german who writes upon bohemian paper and prefers wearing a mask to showing his face."
"128",1661,"and here he comes, if i am not mistaken, to resolve all our doubts."""
"129",1661,"as he spoke there was the sharp sound of horses' hoofs and grating wheels against the curb, followed by a sharp pull at the bell."
"130",1661,"holmes whistled."
"131",1661,"""a pair, by the sound,"" said he."
"132",1661,"""yes,"" he continued, glancing out of the window."
"133",1661,"""a nice little brougham and a pair of beauties."
"134",1661,"a hundred and fifty guineas apiece."
"135",1661,"there's money in this case, watson, if there is nothing else."""
"136",1661,"""i think that i had better go, holmes."""
"137",1661,"""not a bit, doctor."
"138",1661,"stay where you are."
"139",1661,"i am lost without my boswell."
"140",1661,"and this promises to be interesting."
"141",1661,"it would be a pity to miss it."""
"142",1661,"""but your client--""  ""never mind him."
"143",1661,"i may want your help, and so may he."
"144",1661,"here he comes."
"145",1661,"sit down in that armchair, doctor, and give us your best attention."""
"146",1661,"a slow and heavy step, which had been heard upon the stairs and in the passage, paused immediately outside the door."
"147",1661,"then there was a loud and authoritative tap."
"148",1661,"""come in!"""
"149",1661,"said holmes."
"150",1661,"a man entered who could hardly have been less than six feet six inches in height, with the chest and limbs of a hercules."
"151",1661,"his dress was rich with a richness which would, in england, be looked upon as akin to bad taste."
"152",1661,"heavy bands of astrakhan were slashed across the sleeves and fronts of his double-breasted coat, while the deep blue cloak which was thrown over his shoulders was lined with flame-coloured silk and secured at the neck with a brooch which consisted of a single flaming beryl."
"153",1661,"boots which extended halfway up his calves, and which were trimmed at the tops with rich brown fur, completed the impression of barbaric opulence which was suggested by his whole appearance."
"154",1661,"he carried a broad-brimmed hat in his hand, while he wore across the upper part of his face, extending down past the cheekbones, a black vizard mask, which he had apparently adjusted that very moment, for his hand was still raised to it as he entered."
"155",1661,"from the lower part of the face he appeared to be a man of strong character, with a thick, hanging lip, and a long, straight chin suggestive of resolution pushed to the length of obstinacy."
"156",1661,"""you had my note?"""
"157",1661,"he asked with a deep harsh voice and a strongly marked german accent."
"158",1661,"""i told you that i would call."""
"159",1661,"he looked from one to the other of us, as if uncertain which to address."
"160",1661,"""pray take a seat,"" said holmes."
"161",1661,"""this is my friend and colleague, dr."
"162",1661,"watson, who is occasionally good enough to help me in my cases."
"163",1661,"whom have i the honour to address?"""
"164",1661,"""you may address me as the count von kramm, a bohemian nobleman."
"165",1661,"i understand that this gentleman, your friend, is a man of honour and discretion, whom i may trust with a matter of the most extreme importance."
"166",1661,"if not, i should much prefer to communicate with you alone."""
"167",1661,"i rose to go, but holmes caught me by the wrist and pushed me back into my chair."
"168",1661,"""it is both, or none,"" said he."
"169",1661,"""you may say before this gentleman anything which you may say to me."""
"170",1661,"the count shrugged his broad shoulders."
"171",1661,"""then i must begin,"" said he, ""by binding you both to absolute secrecy for two years; at the end of that time the matter will be of no importance."
"172",1661,"at present it is not too much to say that it is of such weight it may have an influence upon european history."""
"173",1661,"""i promise,"" said holmes."
"174",1661,"""and i."""
"175",1661,"""you will excuse this mask,"" continued our strange visitor."
"176",1661,"""the august person who employs me wishes his agent to be unknown to you, and i may confess at once that the title by which i have just called myself is not exactly my own."""
"177",1661,"""i was aware of it,"" said holmes dryly."
"178",1661,"""the circumstances are of great delicacy, and every precaution has to be taken to quench what might grow to be an immense scandal and seriously compromise one of the reigning families of europe."
"179",1661,"to speak plainly, the matter implicates the great house of ormstein, hereditary kings of bohemia."""
"180",1661,"""i was also aware of that,"" murmured holmes, settling himself down in his armchair and closing his eyes."
"181",1661,"our visitor glanced with some apparent surprise at the languid, lounging figure of the man who had been no doubt depicted to him as the most incisive reasoner and most energetic agent in europe."
"182",1661,"holmes slowly reopened his eyes and looked impatiently at his gigantic client."
"183",1661,"""if your majesty would condescend to state your case,"" he remarked, ""i should be better able to advise you."""
"184",1661,"the man sprang from his chair and paced up and down the room in uncontrollable agitation."
"185",1661,"then, with a gesture of desperation, he tore the mask from his face and hurled it upon the ground."
"186",1661,"""you are right,"" he cried; ""i am the king."
"187",1661,"why should i attempt to conceal it?"""
"188",1661,"""why, indeed?"""
"189",1661,"murmured holmes."
"190",1661,"""your majesty had not spoken before i was aware that i was addressing wilhelm gottsreich sigismond von ormstein, grand duke of cassel-felstein, and hereditary king of bohemia."""
"191",1661,"""but you can understand,"" said our strange visitor, sitting down once more and passing his hand over his high white forehead, ""you can understand that i am not accustomed to doing such business in my own person."
"192",1661,"yet the matter was so delicate that i could not confide it to an agent without putting myself in his power."
"193",1661,"i have come incognito from prague for the purpose of consulting you."""
"194",1661,"""then, pray consult,"" said holmes, shutting his eyes once more."
"195",1661,"""the facts are briefly these: some five years ago, during a lengthy visit to warsaw, i made the acquaintance of the well-known adventuress, irene adler."
"196",1661,"the name is no doubt familiar to you."""
"197",1661,"""kindly look her up in my index, doctor,"" murmured holmes without opening his eyes."
"198",1661,"for many years he had adopted a system of docketing all paragraphs concerning men and things, so that it was difficult to name a subject or a person on which he could not at once furnish information."
"199",1661,"in this case i found her biography sandwiched in between that of a hebrew rabbi and that of a staff-commander who had written a monograph upon the deep-sea fishes."
"200",1661,"""let me see!"""
"201",1661,"said holmes."
"202",1661,"""hum!"
"203",1661,"born in new jersey in the year 1858."
"204",1661,"contralto--hum!"
"205",1661,"la scala, hum!"
"206",1661,"prima donna imperial opera of warsaw--yes!"
"207",1661,"retired from operatic stage--ha!"
"208",1661,"living in london--quite so!"
"209",1661,"your majesty, as i understand, became entangled with this young person, wrote her some compromising letters, and is now desirous of getting those letters back."""
"210",1661,"""precisely so."
"211",1661,"but how--""  ""was there a secret marriage?"""
"212",1661,"""none."""
"213",1661,"""no legal papers or certificates?"""
"214",1661,"""none."""
"215",1661,"""then i fail to follow your majesty."
"216",1661,"if this young person should produce her letters for blackmailing or other purposes, how is she to prove their authenticity?"""
"217",1661,"""there is the writing."""
"218",1661,"""pooh, pooh!"
"219",1661,"forgery."""
"220",1661,"""my private note-paper."""
"221",1661,"""stolen."""
"222",1661,"""my own seal."""
"223",1661,"""imitated."""
"224",1661,"""my photograph."""
"225",1661,"""bought."""
"226",1661,"""we were both in the photograph."""
"227",1661,"""oh, dear!"
"228",1661,"that is very bad!"
"229",1661,"your majesty has indeed committed an indiscretion."""
"230",1661,"""i was mad--insane."""
"231",1661,"""you have compromised yourself seriously."""
"232",1661,"""i was only crown prince then."
"233",1661,"i was young."
"234",1661,"i am but thirty now."""
"235",1661,"""it must be recovered."""
"236",1661,"""we have tried and failed."""
"237",1661,"""your majesty must pay."
"238",1661,"it must be bought."""
"239",1661,"""she will not sell."""
"240",1661,"""stolen, then."""
"241",1661,"""five attempts have been made."
"242",1661,"twice burglars in my pay ransacked her house."
"243",1661,"once we diverted her luggage when she travelled."
"244",1661,"twice she has been waylaid."
"245",1661,"there has been no result."""
"246",1661,"""no sign of it?"""
"247",1661,"""absolutely none."""
"248",1661,"holmes laughed."
"249",1661,"""it is quite a pretty little problem,"" said he."
"250",1661,"""but a very serious one to me,"" returned the king reproachfully."
"251",1661,"""very, indeed."
"252",1661,"and what does she propose to do with the photograph?"""
"253",1661,"""to ruin me."""
"254",1661,"""but how?"""
"255",1661,"""i am about to be married."""
"256",1661,"""so i have heard."""
"257",1661,"""to clotilde lothman von saxe-meningen, second daughter of the king of scandinavia."
"258",1661,"you may know the strict principles of her family."
"259",1661,"she is herself the very soul of delicacy."
"260",1661,"a shadow of a doubt as to my conduct would bring the matter to an end."""
"261",1661,"""and irene adler?"""
"262",1661,"""threatens to send them the photograph."
"263",1661,"and she will do it."
"264",1661,"i know that she will do it."
"265",1661,"you do not know her, but she has a soul of steel."
"266",1661,"she has the face of the most beautiful of women, and the mind of the most resolute of men."
"267",1661,"rather than i should marry another woman, there are no lengths to which she would not go--none."""
"268",1661,"""you are sure that she has not sent it yet?"""
"269",1661,"""i am sure."""
"270",1661,"""and why?"""
"271",1661,"""because she has said that she would send it on the day when the betrothal was publicly proclaimed."
"272",1661,"that will be next monday."""
"273",1661,"""oh, then we have three days yet,"" said holmes with a yawn."
"274",1661,"""that is very fortunate, as i have one or two matters of importance to look into just at present."
"275",1661,"your majesty will, of course, stay in london for the present?"""
"276",1661,"""certainly."
"277",1661,"you will find me at the langham under the name of the count von kramm."""
"278",1661,"""then i shall drop you a line to let you know how we progress."""
"279",1661,"""pray do so."
"280",1661,"i shall be all anxiety."""
"281",1661,"""then, as to money?"""
"282",1661,"""you have carte blanche."""
"283",1661,"""absolutely?"""
"284",1661,"""i tell you that i would give one of the provinces of my kingdom to have that photograph."""
"285",1661,"""and for present expenses?"""
"286",1661,"the king took a heavy chamois leather bag from under his cloak and laid it on the table."
"287",1661,"""there are three hundred pounds in gold and seven hundred in notes,"" he said."
"288",1661,"holmes scribbled a receipt upon a sheet of his note-book and handed it to him."
"289",1661,"""and mademoiselle's address?"""
"290",1661,"he asked."
"291",1661,"""is briony lodge, serpentine avenue, st."
"292",1661,"john's wood."""
"293",1661,"holmes took a note of it."
"294",1661,"""one other question,"" said he."
"295",1661,"""was the photograph a cabinet?"""
"296",1661,"""it was."""
"297",1661,"""then, good-night, your majesty, and i trust that we shall soon have some good news for you."
"298",1661,"and good-night, watson,"" he added, as the wheels of the royal brougham rolled down the street."
"299",1661,"""if you will be good enough to call to-morrow afternoon at three o'clock i should like to chat this little matter over with you."""
"300",1661,"ii."
"301",1661,"at three o'clock precisely i was at baker street, but holmes had not yet returned."
"302",1661,"the landlady informed me that he had left the house shortly after eight o'clock in the morning."
"303",1661,"i sat down beside the fire, however, with the intention of awaiting him, however long he might be."
"304",1661,"i was already deeply interested in his inquiry, for, though it was surrounded by none of the grim and strange features which were associated with the two crimes which i have already recorded, still, the nature of the case and the exalted station of his client gave it a character of its own."
"305",1661,"indeed, apart from the nature of the investigation which my friend had on hand, there was something in his masterly grasp of a situation, and his keen, incisive reasoning, which made it a pleasure to me to study his system of work, and to follow the quick, subtle methods by which he disentangled the most inextricable mysteries."
"306",1661,"so accustomed was i to his invariable success that the very possibility of his failing had ceased to enter into my head."
"307",1661,"it was close upon four before the door opened, and a drunken-looking groom, ill-kempt and side-whiskered, with an inflamed face and disreputable clothes, walked into the room."
"308",1661,"accustomed as i was to my friend's amazing powers in the use of disguises, i had to look three times before i was certain that it was indeed he."
"309",1661,"with a nod he vanished into the bedroom, whence he emerged in five minutes tweed-suited and respectable, as of old."
"310",1661,"putting his hands into his pockets, he stretched out his legs in front of the fire and laughed heartily for some minutes."
"311",1661,"""well, really!"""
"312",1661,"he cried, and then he choked and laughed again until he was obliged to lie back, limp and helpless, in the chair."
"313",1661,"""what is it?"""
"314",1661,"""it's quite too funny."
"315",1661,"i am sure you could never guess how i employed my morning, or what i ended by doing."""
"316",1661,"""i can't imagine."
"317",1661,"i suppose that you have been watching the habits, and perhaps the house, of miss irene adler."""
"318",1661,"""quite so; but the sequel was rather unusual."
"319",1661,"i will tell you, however."
"320",1661,"i left the house a little after eight o'clock this morning in the character of a groom out of work."
"321",1661,"there is a wonderful sympathy and freemasonry among horsey men."
"322",1661,"be one of them, and you will know all that there is to know."
"323",1661,"i soon found briony lodge."
"324",1661,"it is a bijou villa, with a garden at the back, but built out in front right up to the road, two stories."
"325",1661,"chubb lock to the door."
"326",1661,"large sitting-room on the right side, well furnished, with long windows almost to the floor, and those preposterous english window fasteners which a child could open."
"327",1661,"behind there was nothing remarkable, save that the passage window could be reached from the top of the coach-house."
"328",1661,"i walked round it and examined it closely from every point of view, but without noting anything else of interest."
"329",1661,"""i then lounged down the street and found, as i expected, that there was a mews in a lane which runs down by one wall of the garden."
"330",1661,"i lent the ostlers a hand in rubbing down their horses, and received in exchange twopence, a glass of half and half, two fills of shag tobacco, and as much information as i could desire about miss adler, to say nothing of half a dozen other people in the neighbourhood in whom i was not in the least interested, but whose biographies i was compelled to listen to."""
"331",1661,"""and what of irene adler?"""
"332",1661,"i asked."
"333",1661,"""oh, she has turned all the men's heads down in that part."
"334",1661,"she is the daintiest thing under a bonnet on this planet."
"335",1661,"so say the serpentine-mews, to a man."
"336",1661,"she lives quietly, sings at concerts, drives out at five every day, and returns at seven sharp for dinner."
"337",1661,"seldom goes out at other times, except when she sings."
"338",1661,"has only one male visitor, but a good deal of him."
"339",1661,"he is dark, handsome, and dashing, never calls less than once a day, and often twice."
"340",1661,"he is a mr."
"341",1661,"godfrey norton, of the inner temple."
"342",1661,"see the advantages of a cabman as a confidant."
"343",1661,"they had driven him home a dozen times from serpentine-mews, and knew all about him."
"344",1661,"when i had listened to all they had to tell, i began to walk up and down near briony lodge once more, and to think over my plan of campaign."
"345",1661,"""this godfrey norton was evidently an important factor in the matter."
"346",1661,"he was a lawyer."
"347",1661,"that sounded ominous."
"348",1661,"what was the relation between them, and what the object of his repeated visits?"
"349",1661,"was she his client, his friend, or his mistress?"
"350",1661,"if the former, she had probably transferred the photograph to his keeping."
"351",1661,"if the latter, it was less likely."
"352",1661,"on the issue of this question depended whether i should continue my work at briony lodge, or turn my attention to the gentleman's chambers in the temple."
"353",1661,"it was a delicate point, and it widened the field of my inquiry."
"354",1661,"i fear that i bore you with these details, but i have to let you see my little difficulties, if you are to understand the situation."""
"355",1661,"""i am following you closely,"" i answered."
"356",1661,"""i was still balancing the matter in my mind when a hansom cab drove up to briony lodge, and a gentleman sprang out."
"357",1661,"he was a remarkably handsome man, dark, aquiline, and moustached--evidently the man of whom i had heard."
"358",1661,"he appeared to be in a great hurry, shouted to the cabman to wait, and brushed past the maid who opened the door with the air of a man who was thoroughly at home."
"359",1661,"""he was in the house about half an hour, and i could catch glimpses of him in the windows of the sitting-room, pacing up and down, talking excitedly, and waving his arms."
"360",1661,"of her i could see nothing."
"361",1661,"presently he emerged, looking even more flurried than before."
"362",1661,"as he stepped up to the cab, he pulled a gold watch from his pocket and looked at it earnestly, 'drive like the devil,' he shouted, 'first to gross & hankey's in regent street, and then to the church of st."
"363",1661,"monica in the edgeware road."
"364",1661,"half a guinea if you do it in twenty minutes!'"
"365",1661,"""away they went, and i was just wondering whether i should not do well to follow them when up the lane came a neat little landau, the coachman with his coat only half-buttoned, and his tie under his ear, while all the tags of his harness were sticking out of the buckles."
"366",1661,"it hadn't pulled up before she shot out of the hall door and into it."
"367",1661,"i only caught a glimpse of her at the moment, but she was a lovely woman, with a face that a man might die for."
"368",1661,"""'the church of st."
"369",1661,"monica, john,' she cried, 'and half a sovereign if you reach it in twenty minutes.'"
"370",1661,"""this was quite too good to lose, watson."
"371",1661,"i was just balancing whether i should run for it, or whether i should perch behind her landau when a cab came through the street."
"372",1661,"the driver looked twice at such a shabby fare, but i jumped in before he could object."
"373",1661,"'the church of st."
"374",1661,"monica,' said i, 'and half a sovereign if you reach it in twenty minutes.'"
"375",1661,"it was twenty-five minutes to twelve, and of course it was clear enough what was in the wind."
"376",1661,"""my cabby drove fast."
"377",1661,"i don't think i ever drove faster, but the others were there before us."
"378",1661,"the cab and the landau with their steaming horses were in front of the door when i arrived."
"379",1661,"i paid the man and hurried into the church."
"380",1661,"there was not a soul there save the two whom i had followed and a surpliced clergyman, who seemed to be expostulating with them."
"381",1661,"they were all three standing in a knot in front of the altar."
"382",1661,"i lounged up the side aisle like any other idler who has dropped into a church."
"383",1661,"suddenly, to my surprise, the three at the altar faced round to me, and godfrey norton came running as hard as he could towards me."
"384",1661,"""'thank god,' he cried."
"385",1661,"'you'll do."
"386",1661,"come!"
"387",1661,"come!'"
"388",1661,"""'what then?'"
"389",1661,"i asked."
"390",1661,"""'come, man, come, only three minutes, or it won't be legal.'"
"391",1661,"""i was half-dragged up to the altar, and before i knew where i was i found myself mumbling responses which were whispered in my ear, and vouching for things of which i knew nothing, and generally assisting in the secure tying up of irene adler, spinster, to godfrey norton, bachelor."
"392",1661,"it was all done in an instant, and there was the gentleman thanking me on the one side and the lady on the other, while the clergyman beamed on me in front."
"393",1661,"it was the most preposterous position in which i ever found myself in my life, and it was the thought of it that started me laughing just now."
"394",1661,"it seems that there had been some informality about their license, that the clergyman absolutely refused to marry them without a witness of some sort, and that my lucky appearance saved the bridegroom from having to sally out into the streets in search of a best man."
"395",1661,"the bride gave me a sovereign, and i mean to wear it on my watch-chain in memory of the occasion."""
"396",1661,"""this is a very unexpected turn of affairs,"" said i; ""and what then?"""
"397",1661,"""well, i found my plans very seriously menaced."
"398",1661,"it looked as if the pair might take an immediate departure, and so necessitate very prompt and energetic measures on my part."
"399",1661,"at the church door, however, they separated, he driving back to the temple, and she to her own house."
"400",1661,"'i shall drive out in the park at five as usual,' she said as she left him."
"401",1661,"i heard no more."
"402",1661,"they drove away in different directions, and i went off to make my own arrangements."""
"403",1661,"""which are?"""
"404",1661,"""some cold beef and a glass of beer,"" he answered, ringing the bell."
"405",1661,"""i have been too busy to think of food, and i am likely to be busier still this evening."
"406",1661,"by the way, doctor, i shall want your co-operation."""
"407",1661,"""i shall be delighted."""
"408",1661,"""you don't mind breaking the law?"""
"409",1661,"""not in the least."""
"410",1661,"""nor running a chance of arrest?"""
"411",1661,"""not in a good cause."""
"412",1661,"""oh, the cause is excellent!"""
"413",1661,"""then i am your man."""
"414",1661,"""i was sure that i might rely on you."""
"415",1661,"""but what is it you wish?"""
"416",1661,"""when mrs."
"417",1661,"turner has brought in the tray i will make it clear to you."
"418",1661,"now,"" he said as he turned hungrily on the simple fare that our landlady had provided, ""i must discuss it while i eat, for i have not much time."
"419",1661,"it is nearly five now."
"420",1661,"in two hours we must be on the scene of action."
"421",1661,"miss irene, or madame, rather, returns from her drive at seven."
"422",1661,"we must be at briony lodge to meet her."""
"423",1661,"""and what then?"""
"424",1661,"""you must leave that to me."
"425",1661,"i have already arranged what is to occur."
"426",1661,"there is only one point on which i must insist."
"427",1661,"you must not interfere, come what may."
"428",1661,"you understand?"""
"429",1661,"""i am to be neutral?"""
"430",1661,"""to do nothing whatever."
"431",1661,"there will probably be some small unpleasantness."
"432",1661,"do not join in it."
"433",1661,"it will end in my being conveyed into the house."
"434",1661,"four or five minutes afterwards the sitting-room window will open."
"435",1661,"you are to station yourself close to that open window."""
"436",1661,"""yes."""
"437",1661,"""you are to watch me, for i will be visible to you."""
"438",1661,"""yes."""
"439",1661,"""and when i raise my hand--so--you will throw into the room what i give you to throw, and will, at the same time, raise the cry of fire."
"440",1661,"you quite follow me?"""
"441",1661,"""entirely."""
"442",1661,"""it is nothing very formidable,"" he said, taking a long cigar-shaped roll from his pocket."
"443",1661,"""it is an ordinary plumber's smoke-rocket, fitted with a cap at either end to make it self-lighting."
"444",1661,"your task is confined to that."
"445",1661,"when you raise your cry of fire, it will be taken up by quite a number of people."
"446",1661,"you may then walk to the end of the street, and i will rejoin you in ten minutes."
"447",1661,"i hope that i have made myself clear?"""
"448",1661,"""i am to remain neutral, to get near the window, to watch you, and at the signal to throw in this object, then to raise the cry of fire, and to wait you at the corner of the street."""
"449",1661,"""precisely."""
"450",1661,"""then you may entirely rely on me."""
"451",1661,"""that is excellent."
"452",1661,"i think, perhaps, it is almost time that i prepare for the new role i have to play."""
"453",1661,"he disappeared into his bedroom and returned in a few minutes in the character of an amiable and simple-minded nonconformist clergyman."
"454",1661,"his broad black hat, his baggy trousers, his white tie, his sympathetic smile, and general look of peering and benevolent curiosity were such as mr."
"455",1661,"john hare alone could have equalled."
"456",1661,"it was not merely that holmes changed his costume."
"457",1661,"his expression, his manner, his very soul seemed to vary with every fresh part that he assumed."
